1130772904, (-1, 3)
1130773024, (0, 3)
1130773144, (0, 2)
1130773264, (0, 1)
1130773384, (1, 1)
1130773504, (1, 2)
1130773624, (1, 3)
1130773744, (2, 3)
1130773864, (2, 2)
1130773984, (2, 1)
1130774104, (-2, 3)
1130774224, (-2, 2)
1130774344, (-2, 1)
1130774464, (-1, 1)
1130774584, (-1, 2)
1130774704, (-1, 3)
1130774824, (0, 3)
1130774944, (0, 2)
1130775064, (0, 1)
1130775184, (1, 1)
1130775304, (1, 2)
1130775424, (1, 3)
1130775544, (2, 3)
1130775664, (2, 2)
1130775784, (2, 1)
1130775904, (-2, 3)
1130776024, (-2, 2)
1130776144, (-2, 1)
1130776264, (-1, 1)
1130776384, (-1, 2)
1130776504, (-1, 3)
1130776624, (0, 3)
1130776744, (0, 2)
1130776864, (0, 1)
1130776984, (1, 1)
1130777104, (1, 2)
1130777224, (1, 3)
1130777344, (2, 3)
1130777464, (2, 2)
1130777584, (2, 1)
1130777704, (-2, 3)
1130777824, (-2, 2)
1130777944, (-2, 1)
1130778064, (-1, 1)
1130778184, (-1, 2)
1130778304, (-1, 3)
1130778424, (0, 3)
1130778544, (0, 2)
1130778664, (0, 1)
1130778784, (1, 1)
1130778904, (1, 2)
1130779024, (1, 3)
1130779144, (2, 3)
1130779264, (2, 2)
1130779384, (2, 1)
1130779504, (-2, 3)
1130779624, (-2, 2)
1130779744, (-2, 1)
1130779864, (-1, 1)
1130779984, (-1, 2)
1130780104, (-1, 3)
1130780224, (0, 3)
1130780344, (0, 2)
1130780464, (0, 1)
1130780584, (1, 1)
1130780704, (1, 2)
1130780824, (1, 3)
1130780944, (2, 3)
1130781064, (2, 2)
1130781184, (2, 1)
1130781304, (-2, 3)
1130781424, (-2, 2)
1130781544, (-2, 1)
1130781664, (-1, 1)
1130781784, (-1, 2)
1130781904, (-1, 3)
1130782024, (0, 3)
1130782144, (0, 2)
1130782264, (0, 1)
1130782384, (1, 1)
1130782504, (1, 2)
1130782624, (1, 3)
1130782744, (2, 3)
1130782864, (2, 2)
1130782984, (2, 1)
1130783104, (-2, 3)
1130783224, (-2, 2)
1130783344, (-2, 1)
1130783464, (-1, 1)
1130783584, (-1, 2)
1130783704, (-1, 3)
1130783824, (0, 3)
1130783944, (0, 2)
1130784064, (0, 1)
1130784184, (1, 1)
1130784304, (1, 2)
1130784424, (1, 3)
1130784544, (2, 3)
1130784664, (2, 2)
1130784784, (2, 1)
1130784904, (-2, 3)
1130785024, (-2, 2)
1130785144, (-2, 1)
1130785264, (-1, 1)
1130785384, (-1, 2)
1130785504, (-1, 3)
1130785624, (0, 3)
1130785744, (0, 2)
1130785864, (0, 1)
1130785984, (1, 1)
1130786104, (1, 2)
1130786224, (1, 3)
1130786344, (2, 3)
1130786464, (2, 2)
1130786824, (-2, 3)
1130786944, (-2, 2)
1130787064, (-2, 1)
1130787184, (-1, 1)
1130787304, (-1, 2)
1130787424, (-1, 3)
1130787544, (0, 3)
1130787664, (0, 2)
1130787784, (0, 1)
1130787904, (1, 1)
1130788024, (1, 2)
1130788144, (1, 3)
1130788264, (2, 3)
1130788384, (2, 2)
1130788504, (2, 1)
1130788624, (-2, 3)
1130788744, (-2, 2)
1130788864, (-2, 1)
1130788984, (-1, 1)
1130789104, (-1, 2)
1130789224, (-1, 3)
1130789344, (0, 3)
1130789464, (0, 2)
1130789584, (0, 1)
1130789704, (1, 1)
1130789824, (1, 2)
1130789944, (1, 3)
1130790064, (2, 3)
1130790184, (2, 2)
1130790304, (2, 1)
1130790424, (-2, 3)
1130790544, (-2, 2)
1130790664, (-2, 1)
1130790784, (-1, 1)
1130790904, (-1, 2)
1130791024, (-1, 3)
1130791144, (0, 3)
1130791264, (0, 2)
1130791384, (0, 1)
1130791504, (1, 1)
1130791624, (1, 2)
1130791744, (1, 3)
1130791864, (2, 3)
1130791984, (2, 2)
1131453096, (2, 3)
1131453216, (-1, 0)
1131453336, (-2, -3)
1131453456, (-2, 3)
1131453576, (2, 0)
1131453696, (2, -3)
1131453816, (1, -3)
1131453936, (2, 0)
1131454056, (-1, 3)
1131454176, (0, 3)
1131454296, (0, 0)
1131454416, (0, -3)
1131454536, (-1, -3)
1131454656, (-1, 0)
1131454776, (1, 3)
1131454896, (2, 3)
1131455016, (-1, 0)
1131455136, (-2, -3)
1131455256, (-2, 3)
1131455376, (2, 0)
1131455496, (2, -3)
1131455616, (1, -3)
1131455736, (2, 0)
1131455856, (-1, 3)
1131455976, (0, 3)
1131456096, (0, 0)
1131456216, (0, -3)
1131456336, (-1, -3)
1131456456, (-1, 0)
1131456576, (1, 3)
1131456696, (2, 3)
1131456816, (-1, 0)
1131456936, (-2, -3)
1131457056, (-2, 3)
1131457176, (2, 0)
1131457296, (2, -3)
1131457416, (1, -3)
1131457536, (2, 0)
1131457656, (-1, 3)
1131457776, (0, 3)
1131457896, (0, 0)
1131458016, (0, -3)
1131458136, (-1, -3)
1131458256, (-1, 0)
1131458376, (1, 3)
1131458496, (2, 3)
1131458616, (-1, 0)
1131458736, (-2, -3)
1131458856, (-2, 3)
1131458976, (2, 0)
1131459096, (2, -3)
1131459216, (1, -3)
1131459336, (2, 0)
1131459456, (-1, 3)
1131459576, (0, 3)
1131459696, (0, 0)
1131459816, (0, -3)
1131459936, (-1, -3)
1131460056, (-1, 0)
1131460176, (1, 3)
1131460296, (2, 3)
1131460416, (-1, 0)
1131460536, (-2, -3)
1131460656, (-2, 3)
1131460776, (2, 0)
1131460896, (2, -3)
1131461016, (1, -3)
1131461136, (2, 0)
1131461256, (-1, 3)
1131461376, (0, 3)
1131461496, (0, 0)
1131461616, (0, -3)
1131461736, (-1, -3)
1131461856, (-1, 0)
1131461976, (1, 3)
1131462096, (2, 3)
1131462216, (-1, 0)
1131462576, (-2, 3)
1131462696, (2, 0)
1131462816, (2, -3)
1131462936, (1, -3)
1131463056, (2, 0)
1131463176, (-1, 3)
1131463296, (0, 3)
1131463416, (0, 0)
1131463536, (0, -3)
1131463656, (-1, -3)
1131463776, (-1, 0)
1131463896, (1, 3)
1131464016, (2, 3)
1131464136, (-1, 0)
1131464256, (-2, -3)
1131464376, (-2, 3)
1131464496, (2, 0)
1131464616, (2, -3)
1131464736, (1, -3)
1131464856, (2, 0)
1131464976, (-1, 3)
1131465096, (0, 3)
1131465216, (0, 0)
1131465336, (0, -3)
1131465456, (-1, -3)
1131465576, (-1, 0)
1131465696, (1, 3)
1131465816, (2, 3)
1131465936, (-1, 0)
1131466056, (-2, -3)
1131466176, (-2, 3)
1131466296, (2, 0)
1131466416, (2, -3)
1131466536, (1, -3)
1131466656, (2, 0)
1131466776, (-1, 3)
1131466896, (0, 3)
1131467016, (0, 0)
1131467136, (0, -3)
1131467256, (-1, -3)
1131467376, (-1, 0)
1131467496, (1, 3)
1131467616, (2, 3)
1131467736, (-1, 0)
1131467856, (-2, -3)
1131467976, (-2, 3)
1131468096, (2, 0)
1131468216, (2, -3)
1131468336, (1, -3)
1131468456, (2, 0)
1131468576, (-1, 3)
1131468696, (0, 3)
1131468816, (0, 0)
1131468936, (0, -3)
1131469056, (-1, -3)
1131469176, (-1, 0)
1131469296, (1, 3)
1131469416, (2, 3)
1131469536, (-1, 0)
1131469656, (-2, -3)
1131469776, (-2, 3)
1131469896, (2, 0)
1131470016, (2, -3)
1131470136, (1, -3)
1131470256, (2, 0)
1131470376, (-1, 3)
1131470496, (0, 3)
1131470616, (0, 0)
1131470736, (0, -3)
1131470856, (-1, -3)
1131470976, (-1, 0)
1131471096, (1, 3)
1131471216, (2, 3)
1131471336, (-1, 0)
1131471456, (-2, -3)
1131471576, (-2, 3)
1131471696, (2, 0)
1131471816, (2, -3)
1131471936, (1, -3)
1131472056, (2, 0)
1131472176, (-1, 3)
1131472296, (0, 3)
1131472416, (0, 0)
1131472536, (0, -3)
1131472656, (-1, -3)
1131472776, (-1, 0)
1131472896, (1, 3)
1131473016, (2, 3)
1131473136, (-1, 0)
1131473256, (-2, -3)
1131473376, (-2, 3)
1131473496, (2, 0)
1131473616, (2, -3)
1131473736, (1, -3)
1131473856, (2, 0)
1131473976, (-1, 3)
1131474096, (0, 3)
1131474216, (0, 0)
1131474336, (0, -3)
1131474456, (-1, -3)
1131474576, (-1, 0)
1131474696, (1, 3)
1131474816, (2, 3)
1131474936, (-1, 0)
1131475056, (-2, -3)
1131475176, (-2, 3)
1131475296, (2, 0)
1131475416, (2, -3)
1131475536, (1, -3)
1131475656, (2, 0)
1131475776, (-1, 3)
1131475896, (0, 3)
1131476016, (0, 0)
1131476136, (0, -3)
1131476256, (-1, -3)
1131476376, (-1, 0)
1131476496, (1, 3)
1131476616, (2, 3)
1131476736, (-1, 0)
1131477096, (-2, 3)
1131477216, (2, 0)
1131477336, (2, -3)
1131477456, (1, -3)
1131477576, (2, 0)
1131477696, (-1, 3)
1131477816, (0, 3)
1131477936, (0, 0)
1131478056, (0, -3)
1131478176, (-1, -3)
1131478296, (-1, 0)
1131478416, (1, 3)
1131478536, (2, 3)
1131478656, (-1, 0)
1131478776, (-2, -3)
1131482256, (-1, 0)
1131482376, (-2, -3)
1131482496, (-2, 3)
1131482616, (2, 0)
1131482736, (2, -3)
1131482856, (1, -3)
1131482976, (2, 0)
1131534584, (2, -1)
1131534704, (2, -2)
1131534824, (2, -3)
1131534944, (1, -3)
1131535064, (1, -2)
1131535184, (1, -1)
1131535304, (0, -1)
1131535424, (0, -2)
1131535544, (0, -3)
1131535664, (-1, -3)
1131535784, (-1, -2)
1131535904, (-1, -1)
1131536024, (-2, -1)
1131536144, (-2, -2)
1131536264, (-2, -3)
1131536384, (2, -1)
1131536504, (2, -2)
1131536624, (2, -3)
1131536744, (1, -3)
1131536864, (1, -2)
1131536984, (1, -1)
1131537104, (0, -1)
1131537224, (0, -2)
1131537344, (0, -3)
1131537464, (-1, -3)
1131537584, (-1, -2)
1131537704, (-1, -1)
1131537824, (-2, -1)
1131537944, (-2, -2)
1131538064, (-2, -3)
1131538184, (2, -1)
1131538304, (2, -2)
1131538424, (2, -3)
1131538544, (1, -3)
1131538664, (1, -2)
1131538784, (1, -1)
1131538904, (0, -1)
1131539024, (0, -2)
1131539144, (0, -3)
1131539264, (-1, -3)
1131539384, (-1, -2)
1131539504, (-1, -1)
1131539624, (-2, -1)
1131539744, (-2, -2)
1131539864, (-2, -3)
1131539984, (2, -1)
1131540104, (2, -2)
1131540224, (2, -3)
1131540344, (1, -3)
1131540464, (1, -2)
1131540584, (1, -1)
1131540704, (0, -1)
1131540824, (0, -2)
1131540944, (0, -3)
1131541064, (-1, -3)
1131541184, (-1, -2)
1131541304, (-1, -1)
1131541424, (-2, -1)
1131541544, (-2, -2)
1131541664, (-2, -3)
1131541784, (2, -1)
1131541904, (2, -2)
1131542024, (2, -3)
1131542144, (1, -3)
1131542264, (1, -2)
1131542384, (1, -1)
1131542504, (0, -1)
1131542624, (0, -2)
1131542744, (0, -3)
1131542864, (-1, -3)
1131542984, (-1, -2)
1131543104, (-1, -1)
1131543224, (-2, -1)
1131543344, (-2, -2)
1131543464, (-2, -3)
1131543584, (2, -1)
1131543704, (2, -2)
1131543824, (2, -3)
1131543944, (1, -3)
1131544064, (1, -2)
1131544184, (1, -1)
1131544304, (0, -1)
1131544424, (0, -2)
1131544544, (0, -3)
1131544664, (-1, -3)
1131544784, (-1, -2)
1131544904, (-1, -1)
1131545024, (-2, -1)
1131545144, (-2, -2)
1131545264, (-2, -3)
1131545384, (2, -1)
1131545504, (2, -2)
1131545624, (2, -3)
1131545744, (1, -3)
1131545864, (1, -2)
1131545984, (1, -1)
1131546104, (0, -1)
1131546224, (0, -2)
1131546344, (0, -3)
1131546464, (-1, -3)
1131546584, (-1, -2)
1131546704, (-1, -1)
1131546824, (-2, -1)
1131546944, (-2, -2)
1131547064, (-2, -3)
1131547184, (2, -1)
1131547304, (2, -2)
1131547424, (2, -3)
1131547544, (1, -3)
1131547664, (1, -2)
1131547784, (1, -1)
1131547904, (0, -1)
1131548024, (0, -2)
1131548144, (0, -3)
1131548264, (-1, -3)
1131548384, (-1, -2)
1131548504, (-1, -1)
1131548624, (-2, -1)
1131548744, (-2, -2)
1131549104, (2, -1)
1131549224, (2, -2)
1131549344, (2, -3)
1131549464, (1, -3)
